# This file was exported by Greenbyte at 2022-01-27 22:38:38. Please see https://www.greenbyte.com for more information about Greenbyte.
#
# Turbine: Kelmarsh 4
# Turbine type: Senvion MM92 (Senvion MM92 kW)
# Time zone: UTC
# Time interval: 2021-01-01 00:00:00 - 2021-07-01 00:00:00 (181 days)
#
# Kelmarsh 4 Sum production: 2581703.365474339 kWh
#
Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category
2020-12-28 09:23:24,2021-01-01 19:19:37,105:56:13,Stop,6540,Icing (anemometer),,External stop (climate) (6),Out of Environmental Specification
2020-12-28 10:43:58,2021-01-01 19:19:37,104:35:39,Informational,6542,Reset of icing st. cd. possible,,System OK (32),Full Performance
2021-01-01 00:09:55,2021-01-01 01:14:53,01:04:58,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-01 02:57:40,2021-01-01 03:09:34,00:11:54,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-01 03:57:42,2021-01-01 05:04:04,01:06:22,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-01 06:30:15,2021-01-01 06:59:32,00:29:17,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-01 08:11:09,2021-01-01 08:33:17,00:22:08,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-01 09:26:20,2021-01-01 09:50:48,00:24:28,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-01 09:47:57,2021-01-01 10:13:58,00:26:01,Communication,9997,Data communication unavailable,,,
2021-01-01 11:19:21,2021-01-01 12:04:57,00:45:36,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-01 14:01:51,2021-01-01 15:10:23,01:08:32,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-01 18:05:29,2021-01-01 18:40:27,00:34:58,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-01 19:19:37,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-01 19:19:37,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-01 19:21:39,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-01 19:23:51,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-01 19:24:02,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-01 19:24:05,2021-01-01 19:41:41,00:17:36,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2021-01-01 19:24:19,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-01 19:41:41,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-01 19:42:12,2021-01-01 19:42:52,00:00:40,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2021-01-01 19:42:52,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-02 08:58:25,2021-01-02 09:00:44,00:02:19,Stop,710,Battery test,,Operating states  (28),Technical Standby
2021-01-02 08:58:25,-,-,Informational,100030,Brake program 180,,,Technical Standby
2021-01-02 09:00:44,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-02 09:00:44,-,-,Informational,100110,Bypass limit switches,,,Full Performance
2021-01-02 09:00:49,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-02 09:02:49,-,-,Informational,100140,System test 1,,,Technical Standby
2021-01-02 09:02:55,-,-,Informational,100150,System test 2,,,Technical Standby
2021-01-02 09:03:10,-,-,Informational,100160,System test 3,,,Technical Standby
2021-01-02 09:03:26,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-02 09:05:40,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-02 09:05:51,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-02 09:06:21,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-03 22:20:25,2021-01-03 23:34:02,01:13:37,Communication,9997,Data communication unavailable,,,
2021-01-06 22:56:52,2021-01-06 22:57:40,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-06 22:56:52,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-06 22:56:53,2021-01-06 23:06:53,00:10:00,Stop,5760,Hydraulic oil flushing operation,,Operating states  (28),Technical Standby
2021-01-06 22:56:53,-,-,Informational,100060,Brake program 52,,,Full Performance
2021-01-06 23:06:53,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-06 23:06:53,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-06 23:10:47,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-06 23:13:59,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-06 23:14:10,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-06 23:14:40,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 02:30:25,2021-01-07 02:31:13,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 02:30:25,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 02:31:13,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 02:31:13,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 02:45:13,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 02:53:30,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 02:53:41,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 02:54:11,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 12:57:00,2021-01-07 12:57:47,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 12:57:00,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 12:57:47,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 12:57:47,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 13:09:17,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 13:10:39,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 13:10:50,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 13:11:20,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 13:21:40,2021-01-07 13:22:27,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 13:21:40,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 13:22:27,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 13:22:27,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 13:50:22,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 13:52:57,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 13:53:08,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 13:53:38,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 14:31:36,2021-01-07 14:32:24,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 14:31:36,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 14:32:24,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 14:32:24,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 14:42:23,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 14:45:44,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 14:45:55,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 14:46:25,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 14:52:48,2021-01-07 14:53:36,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 14:52:48,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 14:53:36,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 14:53:36,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 15:06:52,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 15:08:15,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 15:08:26,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 15:08:56,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 15:17:15,2021-01-07 15:18:03,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 15:17:15,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 15:18:03,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 15:18:03,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 15:21:08,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 15:33:09,2021-01-07 15:35:23,00:02:14,Informational,65,Absence of wind during run-up,,Operating states  (28),Out of Environmental Specification
2021-01-07 15:33:09,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 15:35:23,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 15:35:23,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 15:38:45,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 15:50:46,2021-01-07 15:53:01,00:02:15,Informational,65,Absence of wind during run-up,,Operating states  (28),Out of Environmental Specification
2021-01-07 15:50:46,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 15:53:01,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 15:53:01,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 15:55:15,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 15:58:27,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 15:58:38,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 15:59:08,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 16:28:30,2021-01-07 16:29:17,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 16:28:30,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 16:29:17,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 16:29:17,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 16:36:51,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 16:38:43,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 16:38:53,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 16:39:23,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 16:59:47,2021-01-07 17:00:35,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 16:59:47,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 17:00:35,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 17:00:35,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 17:24:43,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 17:26:23,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 17:26:33,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 17:27:03,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 17:38:07,2021-01-07 17:38:55,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 17:38:07,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 17:38:55,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 17:38:55,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 17:49:49,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 17:51:11,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 17:51:21,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 17:51:51,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 21:02:19,2021-01-07 21:03:07,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 21:02:19,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 21:03:07,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 21:03:07,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 21:21:42,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 21:24:03,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 21:24:14,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 21:24:44,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 02:22:23,2021-01-08 02:23:11,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 02:22:23,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-08 02:23:11,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-08 02:23:11,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-08 03:54:09,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-08 03:58:43,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-08 03:58:53,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-08 03:59:23,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 04:09:34,2021-01-08 04:10:22,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 04:09:34,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-08 04:10:22,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-08 04:10:22,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-08 15:05:25,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-08 15:07:50,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-08 15:08:00,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-08 15:08:30,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 15:51:46,2021-01-08 15:52:34,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 15:51:46,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-08 15:52:34,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-08 15:52:34,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-08 16:02:21,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-08 16:05:45,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-08 16:05:55,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-08 16:06:25,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 16:57:21,2021-01-08 16:58:09,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 16:57:21,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-08 16:58:09,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-08 16:58:09,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-08 17:16:35,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-08 17:18:52,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-08 17:19:02,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-08 17:19:32,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 17:41:11,2021-01-08 17:41:59,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 17:41:11,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-08 17:41:59,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-08 17:41:59,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-08 17:45:36,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-08 17:46:53,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-08 17:47:03,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-08 17:47:33,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 20:08:46,2021-01-08 20:09:34,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 20:08:46,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-08 20:09:34,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-08 20:09:34,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-08 20:19:52,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-08 20:21:40,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-08 20:21:51,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-08 20:22:21,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 21:21:47,2021-01-08 21:22:34,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 21:21:47,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-08 21:22:34,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-08 21:22:34,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-08 21:26:23,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-08 21:28:31,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-08 21:28:42,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-08 21:29:12,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 22:12:31,2021-01-08 22:13:19,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 22:12:31,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-08 22:13:19,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-08 22:13:19,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-08 22:18:26,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-08 22:18:52,2021-01-10 20:14:21,45:55:29,Stop,6540,Icing (anemometer),,External stop (climate) (6),Out of Environmental Specification
2021-01-08 22:18:52,-,-,Informational,100060,Brake program 52,,,Full Performance
2021-01-08 23:21:36,2021-01-09 09:58:24,10:36:48,Informational,6542,Reset of icing st. cd. possible,,System OK (32),Full Performance
2021-01-09 13:01:37,2021-01-09 13:04:41,00:03:04,Informational,6542,Reset of icing st. cd. possible,,System OK (32),Full Performance
2021-01-09 14:27:54,2021-01-09 14:54:34,00:26:40,Informational,6542,Reset of icing st. cd. possible,,System OK (32),Full Performance
2021-01-09 15:55:16,2021-01-09 18:45:10,02:49:54,Informational,6542,Reset of icing st. cd. possible,,System OK (32),Full Performance
2021-01-10 02:35:39,2021-01-10 02:47:05,00:11:26,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-10 03:46:11,2021-01-10 03:53:43,00:07:32,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-10 05:09:04,2021-01-10 05:17:54,00:08:50,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-10 06:31:38,2021-01-10 07:12:21,00:40:43,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-10 07:34:54,2021-01-10 20:14:21,12:39:27,Informational,6542,Reset of icing st. cd. possible,,System OK (32),Full Performance
2021-01-10 09:01:21,2021-01-10 09:14:31,00:13:10,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-10 10:30:58,2021-01-10 10:38:56,00:07:58,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-10 11:52:09,2021-01-10 12:02:38,00:10:29,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-10 12:52:02,2021-01-10 13:30:48,00:38:46,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-10 15:49:44,2021-01-10 16:38:01,00:48:17,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-10 18:33:58,2021-01-10 18:43:02,00:09:04,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-10 20:06:27,2021-01-10 20:21:31,00:15:04,Informational,1555,Gear heating enabled,,Operating states  (28),Technical Standby
2021-01-10 20:14:21,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-10 20:16:21,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-10 20:18:19,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-10 20:18:29,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-10 20:18:32,2021-01-10 20:34:35,00:16:03,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2021-01-10 20:18:47,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-10 20:34:35,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-10 20:34:50,2021-01-10 20:35:48,00:00:58,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2021-01-10 20:35:48,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-12 06:00:00,2021-01-12 06:02:18,00:02:18,Stop,710,Battery test,,Operating states  (28),Technical Standby
2021-01-12 06:00:00,-,-,Informational,100030,Brake program 180,,,Technical Standby
2021-01-12 06:02:18,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-12 06:02:18,-,-,Informational,100110,Bypass limit switches,,,Full Performance
2021-01-12 06:02:23,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-12 06:04:22,-,-,Informational,100140,System test 1,,,Technical Standby
2021-01-12 06:04:30,-,-,Informational,100150,System test 2,,,Technical Standby
2021-01-12 06:04:45,-,-,Informational,100160,System test 3,,,Technical Standby
2021-01-12 06:05:00,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-12 06:07:15,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-12 06:07:26,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-12 06:07:56,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-13 07:49:23,2021-01-13 07:50:11,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-13 07:49:23,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-13 07:50:11,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-13 07:50:11,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-13 07:54:50,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-13 07:56:24,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-13 07:56:35,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-13 07:57:05,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-13 08:12:00,2021-01-13 08:12:48,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-13 08:12:00,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-13 08:12:48,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-13 08:12:48,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-13 17:13:09,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-13 17:25:10,2021-01-13 17:27:29,00:02:19,Informational,65,Absence of wind during run-up,,Operating states  (28),Out of Environmental Specification
2021-01-13 17:25:10,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-13 17:27:29,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-13 17:27:29,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-13 19:44:20,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-13 19:49:00,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-13 19:49:10,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-13 19:49:40,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-13 19:53:41,2021-01-13 19:54:29,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-13 19:53:41,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-13 19:54:29,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-13 19:54:29,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-13 20:01:13,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-13 20:08:39,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-13 20:08:49,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-13 20:09:19,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-13 20:11:48,2021-01-13 20:12:36,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-13 20:11:48,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-13 20:12:36,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-13 20:12:36,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-13 20:24:40,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-13 20:26:54,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-13 20:27:05,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-13 20:27:35,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-13 20:54:10,2021-01-13 20:54:57,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-13 20:54:10,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-13 20:54:57,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-13 20:54:57,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-13 21:22:34,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-13 21:24:41,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-13 21:24:52,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-13 21:25:22,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-13 21:43:02,2021-01-13 21:43:49,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-13 21:43:02,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-13 21:43:49,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-13 21:43:49,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-13 21:46:10,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-13 21:48:16,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-13 21:48:27,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-13 21:48:57,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-13 22:46:29,2021-01-13 22:47:16,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-13 22:46:29,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-13 22:47:16,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-13 22:47:16,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-13 22:50:17,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-13 22:52:03,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-13 22:52:14,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-13 22:52:44,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-13 22:57:30,2021-01-13 22:58:18,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-13 22:57:30,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-13 22:58:18,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-13 22:58:18,-,-,Informational,100130,Automatic start-up,,,Full Performance
